Prop,Sex,Area,Age
0.560116144775629,Male,North,1
0.196808469243428,Male,North,2
0.111086797279128,Male,North,3
0.0576185180769557,Male,North,4
0.0353780767614635,Male,North,5
0.018755256278953,Male,North,6
0.0108886641898598,Male,North,7
0.00934807339458273,Male,North,8
0.531958958882795,Male,North Centr,1
0.200716608890283,Male,North Centr,2
0.117013486980656,Male,North Centr,3
0.0632306719719482,Male,North Centr,4
0.0397646789731702,Male,North Centr,5
0.0219131148944634,Male,North Centr,6
0.0131034434495842,Male,North Centr,7
0.0122990359571,Male,North Centr,8
0.569567668666456,Male,South Centr,1
0.199245320632394,Male,South Centr,2
0.109092163066467,Male,South Centr,3
0.0552048532587334,Male,South Centr,4
0.0326962832188316,Male,South Centr,5
0.0169013090617973,Male,South Centr,6
0.00948918002364625,Male,South Centr,7
0.00780322207167506,Male,South Centr,8
0.579864745873848,Male,South,1
0.195614070272724,Male,South,2
0.106619624659822,Male,South,3
0.0533907061713955,Male,South,4
0.0317259121266543,Male,South,5
0.0162628515989086,Male,South,6
0.00913826557956131,Male,South,7
0.00738382371708681,Male,South,8
0.502928426419169,Female,North,1
0.199251798957259,Female,North,2
0.12213296928428,Female,North,3
0.0693360984251166,Female,North,4
0.0458373883093512,Female,North,5
0.0265326215666769,Female,North,6
0.0166750360689197,Female,North,7
0.0173056609692278,Female,North,8
0.477622163017529,Female,North Centr,1
0.201544439247483,Female,North Centr,2
0.126510669867286,Female,North Centr,3
0.0741781830872064,Female,North Centr,4
0.04983557511291,Female,North Centr,5
0.0297349681357419,Female,North Centr,6
0.0190991489440536,Female,North Centr,7
0.0214748525877905,Female,North Centr,8
0.517247949520313,Female,South Centr,1
0.202976557507802,Female,South Centr,2
0.120025727475068,Female,South Centr,3
0.0661075598289966,Female,South Centr,4
0.0419418199831889,Female,South Centr,5
0.0235495892272534,Female,South Centr,6
0.0142351723748636,Female,South Centr,7
0.0139156240825151,Female,South Centr,8
0.524075549960958,Female,South,1
0.199615258417295,Female,South,2
0.118320429676545,Female,South,3
0.0649429487361044,Female,South,4
0.041623444124026,Female,South,5
0.0233377922921979,Female,South,6
0.0142223717610869,Female,South,7
0.0138622050317869,Female,South,8
