Year,Species,Lan,Bag
1970,Rödräv,AB,2960
1971,Rödräv,AB,3200
1972,Rödräv,AB,2790
1973,Rödräv,AB,3200
1974,Rödräv,AB,3050
1975,Rödräv,AB,2600
1976,Rödräv,AB,3700
1977,Rödräv,AB,4575
1970,Rödräv,AC,5790
1971,Rödräv,AC,4994
1972,Rödräv,AC,4272
1973,Rödräv,AC,5032
1974,Rödräv,AC,7425
1975,Rödräv,AC,3900
1976,Rödräv,AC,2680
1977,Rödräv,AC,3700
1970,Rödräv,BD,4200
1971,Rödräv,BD,4000
1972,Rödräv,BD,4000
1973,Rödräv,BD,2751
1974,Rödräv,BD,2900
1975,Rödräv,BD,3200
1976,Rödräv,BD,3700
1977,Rödräv,BD,2600
1970,Rödräv,C,1330
1971,Rödräv,C,2000
1972,Rödräv,C,1770
1973,Rödräv,C,2290
1974,Rödräv,C,2000
1975,Rödräv,C,1900
1976,Rödräv,C,1715
1977,Rödräv,C,3000
1970,Rödräv,D,2100
1971,Rödräv,D,2100
1972,Rödräv,D,2000
1973,Rödräv,D,2200
1974,Rödräv,D,2100
1975,Rödräv,D,2400
1976,Rödräv,D,2300
1977,Rödräv,D,2800
1970,Rödräv,E,3100
1971,Rödräv,E,3000
1972,Rödräv,E,3100
1973,Rödräv,E,3200
1974,Rödräv,E,3000
1975,Rödräv,E,3200
1976,Rödräv,E,2800
1977,Rödräv,E,3700
1970,Rödräv,F,3700
1971,Rödräv,F,4000
1972,Rödräv,F,4300
1973,Rödräv,F,4500
1974,Rödräv,F,4400
1975,Rödräv,F,4700
1976,Rödräv,F,3775
1977,Rödräv,F,4000
1970,Rödräv,G,3750
1971,Rödräv,G,3400
1972,Rödräv,G,3850
1973,Rödräv,G,3200
1974,Rödräv,G,2800
1975,Rödräv,G,3600
1976,Rödräv,G,3400
1977,Rödräv,G,4100
1970,Rödräv,H,3050
1971,Rödräv,H,3300
1972,Rödräv,H,2600
1973,Rödräv,H,3800
1974,Rödräv,H,3900
1975,Rödräv,H,4700
1976,Rödräv,H,5000
1977,Rödräv,H,5100
1970,Rödräv,K,900
1971,Rödräv,K,750
1972,Rödräv,K,850
1973,Rödräv,K,950
1974,Rödräv,K,950
1975,Rödräv,K,1000
1976,Rödräv,K,1000
1977,Rödräv,K,1100
1970,Rödräv,M,3000
1971,Rödräv,M,3000
1972,Rödräv,M,3000
1973,Rödräv,M,3000
1974,Rödräv,M,3000
1975,Rödräv,M,3500
1976,Rödräv,M,3800
1977,Rödräv,M,4000
1970,Rödräv,N,2500
1971,Rödräv,N,2700
1972,Rödräv,N,2800
1973,Rödräv,N,3000
1974,Rödräv,N,2800
1975,Rödräv,N,2800
1976,Rödräv,N,2900
1977,Rödräv,N,2700
1970,Rödräv,O,9690
1971,Rödräv,O,9870
1972,Rödräv,O,10450
1973,Rödräv,O,9880
1974,Rödräv,O,8200
1975,Rödräv,O,10170
1976,Rödräv,O,9850
1977,Rödräv,O,11900
1970,Rödräv,S,3274
1971,Rödräv,S,3377
1972,Rödräv,S,3370
1973,Rödräv,S,3700
1974,Rödräv,S,3660
1975,Rödräv,S,2815
1976,Rödräv,S,3400
1977,Rödräv,S,4188
1970,Rödräv,T,3500
1971,Rödräv,T,3500
1972,Rödräv,T,3500
1973,Rödräv,T,3000
1974,Rödräv,T,3000
1975,Rödräv,T,2000
1976,Rödräv,T,1490
1977,Rödräv,T,2500
1970,Rödräv,T,3500
1971,Rödräv,T,3500
1972,Rödräv,T,3500
1973,Rödräv,T,3000
1974,Rödräv,T,3000
1975,Rödräv,T,2000
1976,Rödräv,T,1490
1977,Rödräv,T,2500
1970,Rödräv,U,3600
1971,Rödräv,U,3000
1972,Rödräv,U,1526
1973,Rödräv,U,1844
1974,Rödräv,U,1710
1975,Rödräv,U,2356
1976,Rödräv,U,2500
1977,Rödräv,U,2650
1970,Rödräv,W,4000
1971,Rödräv,W,3960
1972,Rödräv,W,4500
1973,Rödräv,W,4950
1974,Rödräv,W,4314
1975,Rödräv,W,3517
1976,Rödräv,W,3741
1977,Rödräv,W,4895
1970,Rödräv,X,3500
1971,Rödräv,X,2350
1972,Rödräv,X,2500
1973,Rödräv,X,3100
1974,Rödräv,X,3500
1975,Rödräv,X,2250
1976,Rödräv,X,2700
1977,Rödräv,X,3300
1970,Rödräv,Y,5950
1971,Rödräv,Y,5125
1972,Rödräv,Y,4200
1973,Rödräv,Y,6600
1974,Rödräv,Y,6990
1975,Rödräv,Y,4480
1976,Rödräv,Y,3420
1977,Rödräv,Y,3240
1970,Rödräv,Z,6600
1971,Rödräv,Z,3850
1972,Rödräv,Z,2729
1973,Rödräv,Z,3880
1974,Rödräv,Z,4670
1975,Rödräv,Z,2500
1976,Rödräv,Z,2000
1977,Rödräv,Z,3340
