Årtal;Art;Län;Antal
1970;Bäver;AC;
1970;Bäver;BD;
1970;Bäver;S;
1970;Bäver;T;
1970;Bäver;U;
1970;Bäver;W;
1970;Bäver;X;
1970;Bäver;Y;
1970;Bäver;Z;
1970;Gräsand;AC;4700
1970;Gräsand;BD;4000
1970;Gräsand;S;1401
1970;Gräsand;T;4000
1970;Gräsand;U;2880
1970;Gräsand;W;2200
1970;Gräsand;X;2250
1970;Gräsand;Y;1500
1970;Gräsand;Z;636
1970;Grävling;AC;5
1970;Grävling;BD;
1970;Grävling;S;455
1970;Grävling;T;700
1970;Grävling;U;495
1970;Grävling;W;500
1970;Grävling;X;350
1970;Grävling;Y;250
1970;Grävling;Z;66
1970;Järpe;AC;2430
1970;Järpe;BD;6000
1970;Järpe;S;153
1970;Järpe;T;300
1970;Järpe;U;28
1970;Järpe;W;900
1970;Järpe;X;810
1970;Järpe;Y;1300
1970;Järpe;Z;1762
1970;Kricka;AC;1400
1970;Kricka;BD;5000
1970;Kricka;S;22
1970;Kricka;T;350
1970;Kricka;U;
1970;Kricka;W;200
1970;Kricka;X;80
1970;Kricka;Y;500
1970;Kricka;Z;636
1970;Mink;AC;2853
1970;Mink;BD;500
1970;Mink;S;900
1970;Mink;T;1000
1970;Mink;U;510
1970;Mink;W;1400
1970;Mink;X;700
1970;Mink;Y;900
1970;Mink;Z;2084
1970;Morkulla;AC;200
1970;Morkulla;BD;120
1970;Morkulla;S;18
1970;Morkulla;T;300
1970;Morkulla;U;38
1970;Morkulla;W;100
1970;Morkulla;X;30
1970;Morkulla;Y;100
1970;Morkulla;Z;
1970;Mård;AC;1170
1970;Mård;BD;250
1970;Mård;S;31
1970;Mård;T;30
1970;Mård;U;24
1970;Mård;W;400
1970;Mård;X;200
1970;Mård;Y;600
1970;Mård;Z;1068
1970;Nötskrika;AC;1000
1970;Nötskrika;BD;300
1970;Nötskrika;S;1517
1970;Nötskrika;T;1500
1970;Nötskrika;U;618
1970;Nötskrika;W;400
1970;Nötskrika;X;750
1970;Nötskrika;Y;600
1970;Nötskrika;Z;6207
1970;Orre;AC;2695
1970;Orre;BD;2400
1970;Orre;S;742
1970;Orre;T;300
1970;Orre;U;98
1970;Orre;W;2200
1970;Orre;X;750
1970;Orre;Y;500
1970;Orre;Z;1592
1970;Rådjur;AC;25
1970;Rådjur;BD;12
1970;Rådjur;S;2070
1970;Rådjur;T;2500
1970;Rådjur;U;2400
1970;Rådjur;W;2600
1970;Rådjur;X;1500
1970;Rådjur;Y;720
1970;Rådjur;Z;829
1970;Rödräv;AC;5790
1970;Rödräv;BD;4200
1970;Rödräv;S;3274
1970;Rödräv;T;3500
1970;Rödräv;U;3600
1970;Rödräv;W;4000
1970;Rödräv;X;3500
1970;Rödräv;Y;5950
1970;Rödräv;Z;6600
1970;Skogshare;AC;11400
1970;Skogshare;BD;9000
1970;Skogshare;S;5551
1970;Skogshare;T;3500
1970;Skogshare;U;1800
1970;Skogshare;W;10600
1970;Skogshare;X;5100
1970;Skogshare;Y;5520
1970;Skogshare;Z;14180
1970;Tjäder;AC;2170
1970;Tjäder;BD;2800
1970;Tjäder;S;637
1970;Tjäder;T;300
1970;Tjäder;U;107
1970;Tjäder;W;1800
1970;Tjäder;X;700
1970;Tjäder;Y;600
1970;Tjäder;Z;2217
1971;Bäver;AC;
1971;Bäver;BD;
1971;Bäver;S;
1971;Bäver;T;
1971;Bäver;U;
1971;Bäver;W;
1971;Bäver;X;
1971;Bäver;Y;
1971;Bäver;Z;
1971;Gräsand;AC;4631
1971;Gräsand;BD;4000
1971;Gräsand;S;1417
1971;Gräsand;T;4000
1971;Gräsand;U;3000
1971;Gräsand;W;2040
1971;Gräsand;X;2100
1971;Gräsand;Y;1200
1971;Gräsand;Z;333
1971;Grävling;AC;
1971;Grävling;BD;
1971;Grävling;S;394
1971;Grävling;T;700
1971;Grävling;U;600
1971;Grävling;W;230
1971;Grävling;X;300
1971;Grävling;Y;300
1971;Grävling;Z;25
1971;Järpe;AC;1397
1971;Järpe;BD;6460
1971;Järpe;S;122
1971;Järpe;T;300
1971;Järpe;U;180
1971;Järpe;W;900
1971;Järpe;X;625
1971;Järpe;Y;1400
1971;Järpe;Z;366
1971;Kricka;AC;1562
1971;Kricka;BD;5000
1971;Kricka;S;19
1971;Kricka;T;300
1971;Kricka;U;
1971;Kricka;W;300
1971;Kricka;X;110
1971;Kricka;Y;500
1971;Kricka;Z;333
1971;Mink;AC;1336
1971;Mink;BD;600
1971;Mink;S;600
1971;Mink;T;700
1971;Mink;U;550
1971;Mink;W;1500
1971;Mink;X;700
1971;Mink;Y;600
1971;Mink;Z;1521
1971;Morkulla;AC;150
1971;Morkulla;BD;100
1971;Morkulla;S;13
1971;Morkulla;T;
1971;Morkulla;U;
1971;Morkulla;W;100
1971;Morkulla;X;50
1971;Morkulla;Y;100
1971;Morkulla;Z;
1971;Mård;AC;1105
1971;Mård;BD;350
1971;Mård;S;40
1971;Mård;T;30
1971;Mård;U;
1971;Mård;W;370
1971;Mård;X;225
1971;Mård;Y;660
1971;Mård;Z;912
1971;Nötskrika;AC;700
1971;Nötskrika;BD;300
1971;Nötskrika;S;1501
1971;Nötskrika;T;1500
1971;Nötskrika;U;
1971;Nötskrika;W;500
1971;Nötskrika;X;650
1971;Nötskrika;Y;500
1971;Nötskrika;Z;3181
1971;Orre;AC;2607
1971;Orre;BD;3230
