LÄN;år;RÅDJUR;SKOGSHARE;BÄVER;RÄV;GRÄVLING;MÅRD;MINK;KRICKA;MORKULLA höst;TJÄDER;ORRE;JÄRPE;NÖTSKRIKA;GRÄSAND
17;1995;7800;3500;900;2000;900;300;700;70;200;800;1200;40;1000;800
17;1996;12005;2896;887;2546;1253;300;585;12;75;744;1191;48;1203;554
17;1997;9561;2847;830;2776;1501;202;512;3;65;679;935;41;840;466
17;1998;9654;2768;748;2810;1179;154;657;32;60;1079;1574;70;1002;648
17;1999;7393;2740;862;2634;1305;181;653;8;0;1113;1637;49;1569;1087
17;2000;6553;2443;601;2143;1051;125;530;76;0;902;1025;32;1150;425
17;2001;4968;2293;770;2094;1297;153;517;3;68;854;1088;58;1177;815
17;2002;4644;1784;666;2585;1022;221;418;188;64;820;1146;67;1137;1809
17;2003;5332;2142;558;3081;865;225;531;7;53;546;1168;71;1668;772
17;2004;4540;2630;489;2756;914;155;399;50;24;486;737;20;2051;481
17;2005;4622;1896;591;2972;1564;253;485;18;53;353;682;23;1596;1132
17;2006;3314;1919;784;2395;866;260;487;2;44;684;1015;82;1622;587
17;2007;4501;2036;915;2868;2643;508;484;0;5;1136;1604;118;2056;489
17;2008;2867;1689;686;2378;1743;469;500;0;4;1142;1592;95;1285;493
17;2009;2837;1242;899;2328;1422;428;199;22;108;832;1318;103;2153;1242
17;2010;2617;977;863;3528;1166;491;219;0;120;939;1716;90;1658;561
18;1995;5600;1300;500;1000;600;200;0;5;50;300;800;20;700;600
18;1996;7226;894;340;1308;999;242;149;518;47;301;524;8;728;2602
18;1997;4872;910;201;1804;1361;159;220;340;26;288;497;5;920;1711
18;1998;5614;1108;278;2057;1259;157;142;318;42;469;485;27;1006;1760
18;1999;4968;823;311;3195;1188;124;388;98;0;252;436;26;842;10199
18;2000;4989;726;348;1506;953;119;96;0;0;286;817;5;1057;149
18;2001;2082;1367;418;311;35;94;23;0;0;264;990;22;476;1217
18;2002;5383;792;253;1668;827;136;153;0;20;282;586;4;806;659
18;2003;4078;903;138;1753;966;112;88;0;74;122;212;11;253;1224
18;2004;4034;996;195;1861;967;236;349;15;0;149;292;0;470;691
