KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2
11,61,11,7,3000,1,D,01D,9j,4S,Sk,,4,5,,73,,,,,1,,78,16,12,2
11,61,4,4,3001,2,F,06G,8j,,Sm,,4,1,,50,,,,,1,,26,6,4,2
11,61,19,2,3002,3,F,10C,7j,2H,Vr,,4,5,,59,,,,,1,,129,26,19,2
11,62,11,2,3003,4,F,07G,9e,,Sm,,4,5,,,,,,,1,,72,15,11,2
11,62,12,2,3004,5,X,20F,6h,1L,Ja,,4,5,,55,,,,,1,,79,16,12,2
11,62,10,4,3005,7,F,06F,8a,,Sm,,4,5,,,,,,,1,,67,14,10,2
11,62,7,4,3006,9,V,07H,4a,,Sm,,4,5,,62,,,,,1,,46,10,7,2
11,62,8,3,3007,10,D,09I,7a,3U,So,,4,5,,,,,,,1,,52,11,8,2
11,61,12,6,3008,14,K,11H,2j,3U,Up,,4,5,,65,,,,,1,,84,17,12,2
11,62,14,5,3009,15,X,18E,6h,1L,Ja,,4,5,,46,,,,,1,,96,20,14,2
11,62,16,5,3010,16,S,11I,5a,3U,Up,,4,5,,49,,,,,1,,110,22,16,2
11,62,16,7,3011,17,U,04E,1g,,Sm,,4,7,,61,,,,,1,,112,23,16,2
11,62,6,4,3012,19,K,03D,7d,4S,Sk,,4,4,,95,,,,,1,,39,8,6,2
11,61,10,6,3013,20,K,11H,2j,3U,Up,,4,4,,61,,,,,1,,70,14,10,2
11,61,10,6,3014,23,K,11H,2j,3U,Up,,4,4,,52,,,,,1,,70,14,10,2
11,62,12,7,3015,24,F,07G,1e,,Sm,,4,5,,68,,,,,1,,84,17,12,2
11,62,11,4,3016,25,U,06D,3j,,Sm,,4,5,,61,,,,,1,,74,15,11,2
11,61,9,7,3017,27,K,10I,9b,3U,Up,,4,4,,,,,,,1,,64,13,10,2
11,61,14,3,3018,30,F,07E,1c,,Sm,,4,5,,,,,,,1,,95,19,14,2
11,62,10,3,3019,32,S,09G,7f,3U,So,,4,5,,,,,,,1,,66,14,10,2
11,62,9,7,3020,34,G,03C,5c,4S,Sk,,4,5,,60,,,,,1,,63,13,9,2
11,62,9,4,3021,37,X,20F,6h,1L,Ja,,4,1,,54,,,,,1,,60,12,9,2
11,62,8,1,3022,39,S,07G,3e,,Sm,,4,4,,,,,,,1,,50,10,8,2
11,62,12,1,3023,41,S,07G,3e,,Sm,,4,5,,51,,,,,1,,78,16,12,2
11,62,12,7,3024,42,K,10I,7a,3U,Up,,4,5,,61,,,,,1,,84,17,12,2
11,62,11,8,3025,43,X,20F,6h,1L,Ja,,4,5,,54,,,,,1,,74,-9,-9,2
11,62,8,6,3026,44,S,09G,7f,3U,So,,4,4,,,,,,,1,,55,11,8,2
11,62,12,4,3027,45,V,07E,1a,,Sm,,4,5,,,,,,,1,,81,17,12,2
11,62,10,7,3028,46,G,09G,1g,3U,Og,,4,5,,,,,,,1,,70,14,10,2
11,62,9,4,3029,47,L,09G,2h,3U,So,,4,5,,,,,,,1,,60,12,9,2
11,62,5,6,3030,48,G,09G,1g,3U,Og,,4,2,,,,,,,1,,34,7,5,2
11,62,9,7,3031,49,X,20F,6h,1L,Ja,,4,1,,40,,,,,1,,63,13,9,2
11,62,11,4,3032,50,X,20F,6h,1L,Ja,,4,4,,46,,,,,1,,74,15,11,2
11,62,13,2,3033,51,S,11I,5a,3U,Up,,4,4,,51,,,,,1,,86,18,13,2
11,62,5,3,3034,52,X,20F,6h,1L,Ja,,4,1,,40,,,,,1,,31,7,5,2
11,62,13,3,3035,53,S,11I,5a,3U,Up,,4,7,,54,,,,,1,,87,18,13,2
11,62,10,6,3036,54,G,11H,5j,3U,Up,,4,5,,77,,,,,1,,69,14,10,2
11,62,7,5,3037,55,G,11H,9j,3U,Up,,4,4,,59,,,,,1,,47,10,7,2
11,62,9,7,3038,56,K,05E,8c,,Sm,,4,5,,70,,,,,1,,63,13,9,2
